MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BE,SURANASOL,SURANA SOLAR LIMITED,         9.25,         9.50,         9.50,         8.90,         8.90,                   120141.50,13368,N, ,44,        24.25,         7.15
N,BE,TANLA,TANLA SOLUTIONS LIMITED,        33.95,        33.50,        35.05,        33.00,        33.90,                  3065017.70,90205,N, ,302,        47.20,        26.35
N,BE,TANTIACONS,TANTIA CONST LTD,         5.60,         5.60,         5.60,         5.35,         5.60,                    32378.80,6028,N, ,18,        20.70,         5.35
N,BE,TARAJEWELS,TARA JEWELS LIMITED,         4.95,         4.75,         4.90,         4.75,         4.80,                   104833.45,21864,N, ,56,        33.00,         4.75
N,BE,TEXMOPIPES,TEXMO PIPE & PRODUCTS LTD,        23.40,        22.25,        23.50,        22.25,        22.25,                  2893292.75,129617,N, ,326,        39.00,        13.60
N,BE,TFL,TRANSWARRANTY FIN. LTD.,         4.70,         4.70,         4.85,         4.50,         4.80,                     2733.30,600,N, ,8,        19.85,         4.35
N,BE,THOMASCOTT,THOMAS SCOTT (INDIA) LTD,         8.30,         8.70,         8.70,         8.70,         8.70,                      130.50,15,N, ,2,        21.75,         8.30
N,BE,TIMESGTY,TIMES GUARANTY LIMITED,        36.85,        35.05,        35.05,        35.05,        35.05,                     2103.00,60,N, ,3,        97.70,        26.15
N,BE,TNTELE,TAMILNADU TELECOMMUNICATI,         1.35,         1.40,         1.40,         1.40,         1.40,                     3194.80,2282,N, ,6,         4.65,          .90
N,BE,TULSI,TULSI EXTRUSION LTD.,          .85,          .90,          .90,          .80,          .85,                     2490.05,2996,N, ,13,         3.80,          .80
N,BE,TVVISION,TV VISION LIMITED,         5.15,         5.20,         5.20,         4.90,         4.90,                   133052.40,26653,N, ,70,       152.00,         4.05
N,BE,UGARSUGAR,THE UGAR SUGAR WORKS LTD,        14.90,        15.60,        15.60,        14.20,        14.20,                   790325.10,54935,N, ,242,        32.80,        11.50
N,BE,USHERAGRO,USHER AGRO LTD,         1.95,         1.90,         1.90,         1.90,         1.90,                    19953.80,10502,N, ,15,        10.85,         1.90
N,BE,UVSL,UTTAM VALUE STEELS LTD,          .10,          .10,          .10,          .05,          .05,                   417713.50,4710163,N, ,184,          .55,          .05
N,BE,VISASTEEL,VISA STEEL LIMITED,        10.50,        10.25,        10.95,        10.00,        10.45,                   222796.10,21309,N, ,78,        28.25,         7.70
N,BE,WANBURY,WANBURY LIMITED,        21.40,        20.70,        22.00,        20.35,        21.05,                   116653.90,5617,N, ,28,        56.25,        20.35
N,BE,WEIZMANIND,WEIZMANN LTD,        47.55,        49.80,        49.80,        45.30,        46.30,                   156523.25,3398,N, ,36,        82.65,        29.75
N,BE,WIPL,THE WESTERN INDIA PLY LTD,        65.30,        65.10,        65.10,        65.10,        65.10,                    18879.00,290,N, ,3,        93.00,        40.20
N,BE,WSI,W.S.INDUSTRIES (I) LTD.,         4.00,         3.80,         4.00,         3.80,         3.80,                    19453.70,4996,N, ,16,        10.00,         3.80
N,BE,XLENERGY,XL ENERGY LIMITED,         1.20,         1.20,         1.20,         1.20,         1.20,                       57.60,48,N, ,3,         5.00,         1.05
N,BE,ZENITHBIR,ZENITH BIRLA (INDIA) LTD,          .70,          .70,          .75,          .65,          .70,                   167673.95,240157,N, ,49,         2.90,          .55
N,BE,ZENITHEXPO,ZENITH EXPORTS LTD,        39.70,        38.05,        41.65,        37.75,        38.10,                    52882.70,1332,N, ,21,       227.25,        36.20
N,BE,ZYLOG,ZYLOG SYSTEMS LTD.,          .85,          .90,          .90,          .80,          .80,                    38496.60,45536,N, ,45,         2.55,          .80
N,BZ,ABGSHIP,ABG SHIPYARD LTD,         4.15,         4.05,         4.30,         3.95,         3.95,                   150634.45,37850,N, ,84,        15.30,         3.95
N,BZ,ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD,       105.75,       100.50,       100.50,       100.50,       100.50,                   555463.50,5527,N, ,51,       440.15,       100.50
N,BZ,BHARATIDIL,BHARATI DEF & INFRA LTD,         2.95,         2.95,         3.00,         2.85,         2.90,                    14268.85,4940,N, ,20,         9.05,         2.75
N,BZ,BILPOWER,BILPOWER LIMITED,          .45,          .40,          .40,          .40,          .40,                     7108.80,17772,N, ,14,         1.95,          .40
N,BZ,DIAPOWER,DIAMOND POWER INFRA LTD,         1.85,         1.85,         1.90,         1.80,         1.80,                    76701.25,41802,N, ,50,        27.40,         1.80
N,BZ,EDUCOMP,EDUCOMP SOLUTIONS LTD,         1.90,         1.90,         1.90,         1.85,         1.85,                    35251.60,19036,N, ,46,         9.70,         1.85
N,BZ,FEDDERELEC,FEDDERS ELECTRIC & ENG LT,        18.30,        17.90,        18.40,        17.50,        17.60,                   405247.25,22796,N, ,77,        96.60,        17.45
N,BZ,GANGOTRI,GANGOTRI TEXTILES LTD.,         5.30,         5.55,         5.55,         5.55,         5.55,                   232434.00,41880,N, ,88,         5.55,          .05
N,BZ,GEMINI,GEMINI COMM. LTD,          .30,          .25,          .30,          .25,          .25,                    10862.80,43400,N, ,28,         1.75,          .20
N,BZ,GOENKA,GOENKA DIAMOND&JEWELS LTD,          .25,          .25,          .30,          .25,          .25,                    55223.05,217699,N, ,43,          .95,          .20
N,BZ,HMT,HMT LTD -,        20.80,        20.10,        20.95,        19.80,        20.25,                    92029.65,4501,N, ,28,        45.65,        19.80
N,BZ,JVLAGRO,JVL AGRO INDUSTRIES LTD,         6.15,         6.15,         6.15,         5.85,         5.85,                   176689.15,29894,N, ,109,        40.00,         5.85
N,BZ,JYOTISTRUC,JYOTI STRUCTURES LTD,         2.40,         2.30,         2.30,         2.30,         2.30,                    20769.00,9030,N, ,17,         8.60,         2.15
N,BZ,LAKPRE,LAKSHMI PRE SCRE LTD,        12.60,        12.05,        12.05,        12.05,        12.05,                    15026.35,1247,N, ,3,        62.00,        11.45
N,BZ,LAKSHMIEFL,LAKSHMI ENG. & FOODS LTD,         8.00,         8.20,         8.40,         7.60,         7.60,                    69335.70,9051,N, ,51,        41.60,         7.60
N,BZ,MOSERBAER,MOSER-BAER (I) LTD,         1.60,         1.55,         1.55,         1.55,         1.55,                    37417.00,24140,N, ,31,         7.70,         1.55
N,BZ,NATNLSTEEL,NATIONAL STEEL & AGRO IND,         7.75,         7.40,         7.40,         7.40,         7.40,                    17878.40,2416,N, ,18,        51.60,         7.40
N,BZ,ORCHIDPHAR,ORCHID PHARMA LIMITED,         6.90,         6.90,         6.90,         6.60,         6.60,                   109436.20,16487,N, ,54,        18.95,         6.60
N,BZ,PRATIBHA,PRATIBHA INDS. LTD,         2.30,         2.30,         2.30,         2.20,         2.25,                    36243.00,16293,N, ,33,        10.00,         2.20
N,BZ,RAMSARUP,RAMSARUP INDUSTRIES LTD,          .45,          .45,          .45,          .45,          .45,                       93.15,207,N, ,5,         3.00,          .35
N,BZ,SEZAL,SEZAL GLASS LIMITED,         2.50,         2.50,         2.50,         2.50,         2.50,                       12.50,5,N, ,1,         5.25,         2.40
N,BZ,SHARONBIO,SHARON BIO-MEDI LTD,         4.80,         5.00,         5.00,         4.60,         4.60,                    45818.70,9871,N, ,36,         9.80,         2.75
N,BZ,SHILPI,SHILPI CABLE TECH LTD,         2.85,         2.75,         2.95,         2.75,         2.80,                    40746.60,14511,N, ,58,        23.70,         2.70
N,BZ,SIMPLEX,SIMPLEX PROJECTS LTD.,        12.80,        12.80,        12.80,        12.35,        12.40,                     3997.00,323,N, ,4,        66.75,        12.35
N,BZ,SRSLTD,SRS LIMITED,          .30,          .35,          .35,          .30,          .35,                    64750.55,200786,N, ,81,         3.15,          .30
N,BZ,SURANAIND,SURANA INDUSTRIES LTD,         1.40,         1.40,         1.40,         1.40,         1.40,                     1495.20,1068,N, ,7,         4.40,         1.30
N,BZ,TODAYS,TODAYS WRITING INSTRUMENT,         1.35,         1.30,         1.30,         1.30,         1.30,                      195.00,150,N, ,4,         2.25,         1.30
N,BZ,UNITY,UNITY INFRAPROJECTS LTD,         2.10,         2.10,         2.10,         2.10,         2.10,                     1052.10,501,N, ,2,         8.40,         1.90
N,BZ,VIDEOIND,VIDEOCON INDUSTRIES LIMIT,         3.90,         4.05,         4.05,         3.90,         4.05,                  2501107.70,619133,N, ,965,        27.35,         3.50
N,IT,GIRRESORTS,GIR NATUREVIEW RESORT LTD,       150.00,       153.90,       154.90,       150.00,       154.90,                  9141500.00,60000,N, ,5,       268.00,        99.45
N,ST,AHLADA,AHLADA ENGINEERS LIMITED,       145.05,       149.00,       149.00,       140.00,       141.45,                 20027450.00,141000,N, ,105,       149.00,       140.00
N,ST,AKG,AKG EXIM LIMITED,        33.85,        33.75,        34.10,        33.75,        34.00,                   950800.00,28000,N, ,4,        34.10,        31.50
N,ST,LAGNAM,LAGNAM SPINTEX LIMITED,        28.75,        27.35,        27.35,        27.35,        27.35,                   164100.00,6000,N, ,2,        41.00,        27.35
N,ST,RPPL,RAJSHREE POLYPACK LTD,       116.70,       115.00,       118.00,       112.00,       115.00,                 52385050.00,446000,N, ,185,       120.00,       105.70
 ,N1, , , , , , , , , ,N, , , , 
 ,N1, ,OTHER SECURITIES, , , , , , , ,N, , , , 
N,DR,STAN,STANDARD  CHARTERED PLC,        54.45,        54.45,        54.50,        46.15,        54.20,                   169609.55,3133,N, ,70,        73.50,        46.15
